year,month,hou,air2m
2009,10,6,17.52666537
2009,11,1,6.381991731
2009,11,2,14.63849821
2009,11,3,0.877494802
2009,11,4,-4.919998187
2009,11,5,6.424003661
2009,11,6,3.403996352
2009,12,1,2.371998537
2009,12,2,4.968495083
2009,12,3,2.818496673
2009,12,4,-4.547496015
2009,12,5,2.214498869
2009,12,6,-1.270419845
2010,1,1,0.800497383
2010,1,2,-2.46000067
2010,1,3,-2.061503638
2010,1,4,6.828498974
2010,1,5,-0.320498696
2010,1,6,6.241658807
2010,2,1,3.947997968
2010,2,2,5.119503814
2010,2,3,-4.829997265
2010,2,4,0.676493834
2010,2,5,13.7534977
2010,2,6,9.239168008
2010,3,1,3.763995283
2010,3,2,-0.662999008
2010,3,3,11.35700254
2010,3,4,14.05899389
2010,3,5,9.177501035
2010,3,6,13.32833036
2010,4,1,12.57900269
2010,4,2,13.10849495
2010,4,3,7.757498288
2010,4,4,17.60749855
2010,4,5,12.95300326
2010,4,6,15.10599861
2010,5,1,23.26299934
2010,5,2,17.76799049
2010,5,3,18.64499855
2010,5,4,20.73299294
2010,5,5,21.51549873
2010,5,6,23.15374692
2010,6,1,22.24150124
2010,6,2,20.38649635
2010,6,3,24.91949654
2010,6,4,26.63449593
2010,6,5,24.97550087
2010,6,6,26.57250404
2010,7,1,27.58999825
2010,7,2,26.8659977
2010,7,3,25.75999336
2010,7,4,26.46749611
2010,7,5,26.3564991
2010,7,6,26.68083127
2010,8,1,28.07800026
2010,8,2,26.78000221
2010,8,3,27.60699806
2010,8,4,26.08849831
2010,8,5,24.38249855
2010,8,6,22.58208021
2010,9,1,23.8729969
2010,9,2,24.12999458
2010,9,3,23.66599922
2010,9,4,26.0104969
2010,9,5,16.49299507
2010,9,6,17.83299294
2010,10,1,16.09049721
2010,10,2,18.3814991
2010,10,3,16.59749947
2010,10,4,17.39900093
2010,10,5,14.76300085
2010,10,6,7.433749259
2010,11,1,10.76699252
2010,11,2,11.7879993
2010,11,3,9.178502059
2010,11,4,8.404997444
2010,11,5,5.302995285
2010,11,6,8.143000913
2010,12,1,9.218998957
2010,12,2,4.200502078
2010,12,3,2.798495519
2010,12,4,1.202001892
2010,12,5,0.700001436
2010,12,6,-1.42833052
2011,1,1,-5.695497131
2011,1,2,-5.644502217
2011,1,3,-3.066499342
2011,1,4,-5.116993761
2011,1,5,-2.979995786
2011,1,6,-2.543750529
2011,2,1,3.424499498
2011,2,2,5.71550152
2011,2,3,-2.182502766
2011,2,4,3.25699303
2011,2,5,9.824493623
2011,2,6,3.24749659
2011,3,1,2.579502842
2011,3,2,7.290995908
2011,3,3,10.23499322
2011,3,4,9.514999652
2011,3,5,6.315498376
2011,3,6,11.24333251
2011,4,1,10.32049735
2011,4,2,14.54249916
2011,4,3,17.83549538
2011,4,4,15.69100075
2011,4,5,18.67249184
2011,4,6,21.54450111
2011,5,1,18.10049934
2011,5,2,23.34300423
2011,5,3,19.01049843
2011,5,4,25.48999977
2011,5,5,15.83650398
2011,5,6,22.74499957
2011,6,1,24.78199959
2011,6,2,26.2189991
2011,6,3,25.00049629
2011,6,4,24.72199593
2011,6,5,25.15050087
2011,6,6,25.30649605
2011,7,1,26.98099556
2011,7,2,25.83050423
2011,7,3,25.08199806
2011,7,4,24.21199532
2011,7,5,27.26949806
2011,7,6,27.30874825
2011,8,1,25.01249428
2011,8,2,25.34199715
2011,8,3,26.44650154
2011,8,4,26.29049873
2011,8,5,22.24349556
2011,8,6,23.68500074
2011,9,1,23.34499245
2011,9,2,20.8670002
2011,9,3,24.30400124
2011,9,4,15.92300148
2011,9,5,17.94299507
2011,9,6,20.2804966
2011,10,1,15.05999947
2011,10,2,19.76799507
2011,10,3,17.06699562
2011,10,4,15.81799202
2011,10,5,14.15449708
2011,10,6,13.06291008
2011,11,1,17.48100166
2011,11,2,10.76499507
2011,11,3,11.48800085
2011,11,4,12.9649951
2011,11,5,7.902995453
2011,11,6,9.310496771
2011,12,1,2.410000537
2011,12,2,-0.439003046
2011,12,3,-0.511999542
2011,12,4,-3.412498491
2011,12,5,-1.394004861
2011,12,6,2.142496952
2012,1,1,-1.998500073
2012,1,2,-0.090501431
2012,1,3,1.05700069
2012,1,4,2.859001081
2012,1,5,-5.739498949
2012,1,6,1.745834553
2012,2,1,-0.560003695
2012,2,2,-2.191499365
2012,2,3,2.29299769
2012,2,4,1.662998906
2012,2,5,5.489997953
2012,2,6,3.074992676
2012,3,1,3.475994796
2012,3,2,5.644996572
2012,3,3,7.960000764
2012,3,4,7.905996829
2012,3,5,9.010995626
2012,3,6,14.97333082
2012,4,1,14.44599953
2012,4,2,17.91449928
2012,4,3,15.28449898
2012,4,4,18.38550148
2012,4,5,19.75049782
2012,4,6,20.9130024
2012,5,1,21.89449654
2012,5,2,23.27799873
2012,5,3,21.1630024
2012,5,4,22.27099495
2012,5,5,22.0439991
2012,5,6,23.32749875
2012,6,1,23.22300148
2012,6,2,26.27899361
2012,6,3,26.64649849
2012,6,4,26.17699928
2012,6,5,26.58449898
2012,6,6,25.89999123
2012,7,1,26.39449806
2012,7,2,27.0900013
2012,7,3,25.84999733
2012,7,4,25.67149544
2012,7,5,27.45599709
2012,7,6,27.37916247
2012,8,1,26.17399635
2012,8,2,25.6295002
2012,8,3,26.11050301
2012,8,4,26.70999947
2012,8,5,21.76449928
2012,8,6,24.29665947
2012,9,1,22.43300056
2012,9,2,22.34699745
2012,9,3,19.16349983
2012,9,4,19.91599617
2012,9,5,21.65000038
2012,9,6,17.43499947
2012,10,1,17.75749702
2012,10,2,17.74649544
2012,10,3,18.48999367
2012,10,4,14.83350105
2012,10,5,13.97600136
2012,10,6,13.32833413
2012,11,1,7.956497324
2012,11,2,8.884993196
2012,11,3,6.480496293
2012,11,4,8.316499519
2012,11,5,6.15749675
2012,11,6,5.617497259
2012,12,1,2.250501953
2012,12,2,-0.150502076
2012,12,3,1.719001746
2012,12,4,-0.384001186
2012,12,5,-3.516503909
2012,12,6,-5.180414533
2013,1,1,-7.435005116
2013,1,2,-2.911500603
2013,1,3,1.351501438
2013,1,4,0.851000927
2013,1,5,0.686999478
2013,1,6,6.893327491
2013,2,1,4.799000561
2013,2,2,-2.669500728
2013,2,3,2.745500124
